日期,收盘,
2000-01-03,456.50 ,
2000-01-04,464.25 ,
2000-01-05,469.25 ,
2000-01-06,468.00 ,
2000-01-07,471.50 ,
2000-01-10,466.25 ,
2000-01-11,467.00 ,
2000-01-12,472.50 ,
2000-01-13,481.75 ,
2000-01-14,485.50 ,
2000-01-18,502.25 ,
2000-01-19,501.00 ,
2000-01-20,505.50 ,
2000-01-21,505.25 ,
2000-01-24,512.00 ,
2000-01-25,517.00 ,
2000-01-26,513.25 ,
2000-01-27,527.00 ,
2000-01-28,523.50 ,
2000-01-31,508.00 ,
2000-02-01,510.00 ,
2000-02-02,507.50 ,
2000-02-03,501.00 ,
2000-02-04,505.50 ,
2000-02-07,506.50 ,
2000-02-08,500.25 ,
2000-02-09,503.75 ,
2000-02-10,513.00 ,
2000-02-11,505.25 ,
2000-02-14,505.00 ,
2000-02-15,508.75 ,
2000-02-16,507.50 ,
2000-02-17,508.00 ,
2000-02-18,514.50 ,
2000-02-22,513.00 ,
2000-02-23,499.75 ,
2000-02-24,504.50 ,
2000-02-25,497.00 ,
2000-02-28,497.75 ,
2000-02-29,501.25 ,
2000-03-01,496.50 ,
2000-03-02,501.50 ,
2000-03-03,504.00 ,
2000-03-06,508.25 ,
2000-03-07,502.25 ,
2000-03-08,505.50 ,
2000-03-09,507.00 ,
2000-03-10,500.00 ,
2000-03-13,513.25 ,
2000-03-14,520.00 ,
2000-03-15,525.00 ,
2000-03-16,525.50 ,
2000-03-17,537.50 ,
2000-03-20,525.75 ,
2000-03-21,526.75 ,
2000-03-22,531.00 ,
2000-03-23,522.00 ,
2000-03-24,530.75 ,
2000-03-27,531.50 ,
2000-03-28,526.50 ,
2000-03-29,529.00 ,
2000-03-30,537.50 ,
2000-03-31,545.50 ,
2000-04-03,546.50 ,
2000-04-04,538.50 ,
2000-04-05,543.00 ,
2000-04-06,531.00 ,
2000-04-07,538.75 ,
2000-04-10,532.00 ,
2000-04-11,528.00 ,
2000-04-12,537.50 ,
2000-04-13,538.25 ,
2000-04-14,532.50 ,
2000-04-17,531.50 ,
2000-04-18,534.00 ,
2000-04-19,537.50 ,
2000-04-20,536.25 ,
2000-04-24,544.00 ,
2000-04-25,543.00 ,
2000-04-26,540.25 ,
2000-04-27,532.50 ,
2000-04-28,526.50 ,
2000-05-01,555.00 ,
2000-05-02,554.25 ,
2000-05-03,560.75 ,
2000-05-04,561.00 ,
2000-05-05,555.00 ,
2000-05-08,547.25 ,
2000-05-09,545.25 ,
2000-05-10,560.00 ,
2000-05-11,559.00 ,
2000-05-12,551.50 ,
2000-05-15,549.75 ,
2000-05-16,543.75 ,
2000-05-17,541.25 ,
2000-05-18,547.75 ,
2000-05-19,554.50 ,
2000-05-22,553.00 ,
2000-05-23,548.75 ,
2000-05-24,542.25 ,
2000-05-25,527.25 ,
2000-05-26,534.25 ,
2000-05-30,517.00 ,
2000-05-31,517.50 ,
2000-06-01,522.50 ,
2000-06-02,533.75 ,
2000-06-05,529.25 ,
2000-06-06,530.50 ,
2000-06-07,522.50 ,
2000-06-08,521.50 ,
2000-06-09,520.75 ,
2000-06-12,510.50 ,
2000-06-13,510.50 ,
2000-06-14,510.75 ,
2000-06-15,510.00 ,
2000-06-16,504.75 ,
